"search-number","evaluation","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","fitness","num-replicates","best-fitness-so-far"
"1","410","3","0.527","0.66","35","34","2","1","48","0.1","15","149","20","0.01","8","0.5","845.7178915402113","10","-587.7305096824205"
"1","420","3","0.527","0.66","35","28","2","3","48","0.1","15","110","20","0.01","8","0.5","2751.2359824738915","10","-587.7305096824205"
"1","430","3","0.527","0.66","35","24","2","2","48","0.1","15","172","20","0.01","8","0.5","3778.3315751901873","10","-587.7305096824205"
"1","440","3","0.527","0.66","35","26","2","1","48","0.1","15","139","20","0.01","8","0.5","1087.3253977759725","10","-587.7305096824205"
"1","450","3","0.527","0.66","35","12","2","3","48","0.1","15","109","20","0.01","8","0.5","4010.2805987372994","10","-587.7305096824205"
"1","460","3","0.527","0.66","35","32","2","3","48","0.1","15","81","20","0.01","8","0.5","2538.3400765094166","10","-587.7305096824205"
"1","470","3","0.527","0.66","35","36","2","1","48","0.1","15","117","20","0.01","8","0.5","797.5310551567852","10","-587.7305096824205"
"1","480","3","0.527","0.66","35","14","2","1","48","0.1","15","176","20","0.01","8","0.5","1808.4151125331373","10","-587.7305096824205"
"1","490","3","0.527","0.66","35","38","2","3","48","0.1","15","115","20","0.01","8","0.5","3601.983118771198","10","-587.7305096824205"
"1","500","3","0.527","0.66","35","48","2","2","48","0.1","15","67","20","0.01","8","0.5","952.0122719092508","10","-587.7305096824205"
"1","510","3","0.527","0.66","35","36","2","1","48","0.1","15","18","20","0.01","8","0.5","-310.3401943173596","10","-587.7305096824205"
"1","520","3","0.527","0.66","35","24","2","1","48","0.1","15","117","20","0.01","8","0.5","1121.4536814453922","10","-587.7305096824205"
"1","530","3","0.527","0.66","35","34","2","1","48","0.1","15","103","20","0.01","8","0.5","1210.4132359280907","10","-587.7305096824205"
"1","540","3","0.527","0.66","35","18","2","2","48","0.1","15","81","20","0.01","8","0.5","1577.7548593540764","10","-587.7305096824205"
"1","550","3","0.527","0.66","35","48","2","2","48","0.1","15","50","20","0.01","8","0.5","970.5928730782338","10","-587.7305096824205"
"1","560","3","0.527","0.66","35","20","2","3","48","0.1","15","105","20","0.01","8","0.5","4551.092707250357","10","-587.7305096824205"
"1","570","3","0.527","0.66","35","20","2","2","48","0.1","15","3","20","0.01","8","0.5","-410.4592809193562","10","-587.7305096824205"
"1","580","3","0.527","0.66","35","48","2","2","48","0.1","15","3","20","0.01","8","0.5","-222.3905454147643","10","-587.7305096824205"
"1","590","3","0.527","0.66","35","20","2","3","48","0.1","15","117","20","0.01","8","0.5","3162.38535520039","10","-587.7305096824205"
"1","600","3","0.527","0.66","35","20","2","3","48","0.1","15","59","20","0.01","8","0.5","2263.1369259573257","10","-587.7305096824205"
"1","610","3","0.527","0.66","35","46","2","2","48","0.1","15","54","20","0.01","8","0.5","936.9445765966905","10","-587.7305096824205"
"1","620","3","0.527","0.66","35","36","2","1","48","0.1","15","44","20","0.01","8","0.5","-130.3972014734755","10","-587.7305096824205"
"1","630","3","0.527","0.66","35","22","2","3","48","0.1","15","117","20","0.01","8","0.5","3483.5172308449755","10","-587.7305096824205"
"1","640","3","0.527","0.66","35","20","2","2","48","0.1","15","75","20","0.01","8","0.5","1011.9681219360107","10","-587.7305096824205"
"1","650","3","0.527","0.66","35","10","2","1","48","0.1","15","54","20","0.01","8","0.5","65.17360297856672","10","-587.7305096824205"
"1","660","3","0.527","0.66","35","20","2","1","48","0.1","15","75","20","0.01","8","0.5","450.8007169473729","10","-587.7305096824205"
"1","670","3","0.527","0.66","35","10","2","2","48","0.1","15","3","20","0.01","8","0.5","-681.6219573327993","10","-681.6219573327993"
"1","680","3","0.527","0.66","35","48","2","2","48","0.1","15","22","20","0.01","8","0.5","156.3033407937806","10","-681.6219573327993"
"1","690","3","0.527","0.66","35","44","2","2","48","0.1","15","18","20","0.01","8","0.5","93.82670741748966","10","-681.6219573327993"
"1","700","3","0.527","0.66","35","48","2","2","48","0.1","15","54","20","0.01","8","0.5","907.3968625204283","10","-681.6219573327993"
"1","710","3","0.527","0.66","35","20","2","2","48","0.1","15","18","20","0.01","8","0.5","-29.438702583818355","10","-681.6219573327993"
"1","720","3","0.527","0.66","35","44","2","1","48","0.1","15","92","20","0.01","8","0.5","685.160578629024","10","-681.6219573327993"
"1","730","3","0.527","0.66","35","46","2","2","48","0.1","15","22","20","0.01","8","0.5","190.44499164623136","10","-681.6219573327993"
"1","740","3","0.527","0.66","35","36","2","1","48","0.1","15","22","20","0.01","8","0.5","-100.57855839956517","10","-681.6219573327993"
"1","750","3","0.527","0.66","35","10","2","1","48","0.1","15","3","20","0.01","8","0.5","-681.5117754606061","10","-681.6219573327993"
"1","760","3","0.527","0.66","35","36","2","1","48","0.1","15","3","20","0.01","8","0.5","-213.50003783519378","10","-681.6219573327993"
