"search-number","evaluation","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","fitness","num-replicates","best-fitness-so-far"
"1","235","3","0.527","0.66","35","34","2","2","48","0.1","15","160","20","0.01","8","0.5","4336.663851009045","5","-392.90472099511055"
"1","240","3","0.527","0.66","35","28","2","3","48","0.1","15","93","20","0.01","8","0.5","3638.4055647076566","5","-392.90472099511055"
"1","245","3","0.527","0.66","35","14","2","2","48","0.1","15","14","20","0.01","8","0.5","-67.01055197815967","5","-392.90472099511055"
"1","250","3","0.527","0.66","35","48","2","2","48","0.1","15","78","20","0.01","8","0.5","1148.3881672177042","5","-392.90472099511055"
"1","255","3","0.527","0.66","35","30","2","1","48","0.1","15","14","20","0.01","8","0.5","-141.42433200129875","5","-392.90472099511055"
"1","260","3","0.527","0.66","35","14","2","2","48","0.1","15","20","20","0.01","8","0.5","299.06403994175764","5","-392.90472099511055"
"1","265","3","0.527","0.66","35","32","2","1","48","0.1","15","0","20","0.01","8","0.5","-323.71068205466275","5","-392.90472099511055"
"1","270","3","0.527","0.66","35","38","2","1","48","0.1","15","43","20","0.01","8","0.5","152.19580587686562","5","-392.90472099511055"
"1","275","3","0.527","0.66","35","30","2","2","48","0.1","15","10","20","0.01","8","0.5","-3.085624090290642","5","-392.90472099511055"
"1","280","3","0.527","0.66","35","12","2","1","48","0.1","15","106","20","0.01","8","0.5","1289.2706621011257","5","-392.90472099511055"
"1","285","3","0.527","0.66","35","18","2","1","48","0.1","15","32","20","0.01","8","0.5","115.83023007956163","5","-392.90472099511055"
"1","290","3","0.527","0.66","35","28","2","1","48","0.1","15","14","20","0.01","8","0.5","-84.10938677813643","5","-392.90472099511055"
"1","295","3","0.527","0.66","35","14","2","2","48","0.1","15","13","20","0.01","8","0.5","9.02536766437654","5","-392.90472099511055"
"1","300","3","0.527","0.66","35","28","2","1","48","0.1","15","30","20","0.01","8","0.5","84.92073687742285","5","-392.90472099511055"
"1","305","3","0.527","0.66","35","16","2","1","48","0.1","15","13","20","0.01","8","0.5","-210.9518415476084","5","-392.90472099511055"
"1","310","3","0.527","0.66","35","30","2","1","48","0.1","15","13","20","0.01","8","0.5","-265.0205518937245","5","-392.90472099511055"
"1","315","3","0.527","0.66","35","28","2","1","48","0.1","15","127","20","0.01","8","0.5","1542.289382148891","5","-392.90472099511055"
"1","320","3","0.527","0.66","35","28","2","1","48","0.1","15","8","20","0.01","8","0.5","-122.6991477625756","5","-392.90472099511055"
"1","325","3","0.527","0.66","35","18","2","1","48","0.1","15","13","20","0.01","8","0.5","-128.90953944155402","5","-392.90472099511055"
"1","330","3","0.527","0.66","35","14","2","1","48","0.1","15","14","20","0.01","8","0.5","-314.0579138707434","5","-392.90472099511055"
"1","335","3","0.527","0.66","35","14","2","2","48","0.1","15","58","20","0.01","8","0.5","2020.589631173137","5","-392.90472099511055"
"1","340","3","0.527","0.66","35","30","2","1","48","0.1","15","30","20","0.01","8","0.5","-57.55137881993136","5","-392.90472099511055"
"1","345","3","0.527","0.66","35","18","2","2","48","0.1","15","20","20","0.01","8","0.5","177.8025374591227","5","-392.90472099511055"
"1","350","3","0.527","0.66","35","40","2","1","48","0.1","15","43","20","0.01","8","0.5","383.2421740925823","5","-392.90472099511055"
"1","355","3","0.527","0.66","35","32","2","1","48","0.1","15","38","20","0.01","8","0.5","144.07481789148616","5","-392.90472099511055"
"1","360","3","0.527","0.66","35","34","2","1","48","0.1","15","0","20","0.01","8","0.5","-294.9448337571586","5","-392.90472099511055"
"1","365","3","0.527","0.66","35","18","2","1","48","0.1","15","14","20","0.01","8","0.5","-176.80271361278471","5","-392.90472099511055"
"1","370","3","0.527","0.66","35","12","2","1","48","0.1","15","0","20","0.01","8","0.5","-586.6400719605733","5","-586.6400719605733"
"1","375","3","0.527","0.66","35","38","2","2","48","0.1","15","10","20","0.01","8","0.5","-136.34196972110433","5","-586.6400719605733"
"1","380","3","0.527","0.66","35","18","2","1","48","0.1","15","39","20","0.01","8","0.5","328.16436645510663","5","-586.6400719605733"
