"search-number","evaluation","evals-requested-so-far","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","29","250","3","0.527","0.66","35","46","2","2","48","0.1","15","149","20","0.01","8","0.5","""1273519310""","3938.7691818569674","3938.7691818569674","3938.7691818569674","0","3938.7691818569674"
"1","30","250","3","0.527","0.66","35","46","2","2","48","0.1","15","149","20","0.01","8","0.5","""1139233979""","4285.756490511385","4285.756490511385","4285.756490511385","0","4285.756490511385"
"1","31","250","3","0.527","0.66","35","40","2","1","48","0.1","15","135","20","0.01","8","0.5","""631224733""","1009.2639118329389","1009.2639118329389","1009.2639118329389","0","1009.2639118329389"
"1","32","250","3","0.527","0.66","35","40","2","1","48","0.1","15","135","20","0.01","8","0.5","""1624580474""","1844.7081450315177","1844.7081450315177","1844.7081450315177","0","1844.7081450315177"
"1","33","250","3","0.527","0.66","35","40","2","1","48","0.1","15","135","20","0.01","8","0.5","""-1069212901""","2120.3339457289508","2120.3339457289508","2120.3339457289508","0","2120.3339457289508"
"1","34","250","3","0.527","0.66","35","40","2","1","48","0.1","15","135","20","0.01","8","0.5","""651527997""","1970.948762490364","1970.948762490364","1970.948762490364","0","1970.948762490364"
"1","35","250","3","0.527","0.66","35","40","2","1","48","0.1","15","135","20","0.01","8","0.5","""257406979""","1703.3172373505852","1703.3172373505852","1703.3172373505852","0","1703.3172373505852"
"1","36","250","3","0.527","0.66","35","34","2","3","48","0.1","15","50","20","0.01","8","0.5","""983411819""","1459.1197027306607","1459.1197027306607","1459.1197027306607","0","1459.1197027306607"
"1","37","250","3","0.527","0.66","35","34","2","3","48","0.1","15","50","20","0.01","8","0.5","""-1715030433""","1484.1898114794787","1484.1898114794787","1484.1898114794787","0","1484.1898114794787"
"1","38","250","3","0.527","0.66","35","34","2","3","48","0.1","15","50","20","0.01","8","0.5","""-802535547""","1350.5262775704725","1350.5262775704725","1350.5262775704725","0","1350.5262775704725"
