"search-number","evaluation","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","fitness","num-replicates","best-fitness-so-far"
"1","235","3","0.527","0.66","35","18","2","1","48","0.1","15","136","20","0.01","8","0.5","1627.4456225126708","5","-305.1555345146242"
"1","240","3","0.527","0.66","35","46","2","2","48","0.1","15","164","20","0.01","8","0.5","4169.375012450998","5","-305.1555345146242"
"1","245","3","0.527","0.66","35","32","2","1","48","0.1","15","58","20","0.01","8","0.5","436.55505057452604","5","-305.1555345146242"
"1","250","3","0.527","0.66","35","48","2","2","48","0.1","15","32","20","0.01","8","0.5","566.6711607276546","5","-305.1555345146242"
"1","255","3","0.527","0.66","35","30","2","2","48","0.1","15","0","20","0.01","8","0.5","-344.2322537553665","5","-344.2322537553665"
"1","260","3","0.527","0.66","35","30","2","2","48","0.1","15","107","20","0.01","8","0.5","1920.0714313705987","5","-344.2322537553665"
"1","265","3","0.527","0.66","35","20","2","1","48","0.1","15","32","20","0.01","8","0.5","118.34228230925632","5","-344.2322537553665"
"1","270","3","0.527","0.66","35","20","2","1","48","0.1","15","18","20","0.01","8","0.5","-84.72678885388753","5","-344.2322537553665"
"1","275","3","0.527","0.66","35","18","2","3","48","0.1","15","107","20","0.01","8","0.5","6520.271029508852","5","-344.2322537553665"
"1","280","3","0.527","0.66","35","28","2","1","48","0.1","15","58","20","0.01","8","0.5","746.9563429558818","5","-344.2322537553665"
"1","285","3","0.527","0.66","35","32","2","1","48","0.1","15","145","20","0.01","8","0.5","1388.2971043949717","5","-344.2322537553665"
"1","290","3","0.527","0.66","35","32","2","1","48","0.1","15","101","20","0.01","8","0.5","1322.3039764696841","5","-344.2322537553665"
"1","295","3","0.527","0.66","35","30","2","2","48","0.1","15","58","20","0.01","8","0.5","1289.24071903375","5","-344.2322537553665"
"1","300","3","0.527","0.66","35","46","2","3","48","0.1","15","49","20","0.01","8","0.5","1757.3433181594978","5","-344.2322537553665"
"1","305","3","0.527","0.66","35","42","2","1","48","0.1","15","12","20","0.01","8","0.5","-76.92774649831479","5","-344.2322537553665"
"1","310","3","0.527","0.66","35","20","2","2","48","0.1","15","11","20","0.01","8","0.5","-69.68354308611657","5","-344.2322537553665"
"1","315","3","0.527","0.66","35","30","2","1","48","0.1","15","58","20","0.01","8","0.5","439.94223714671233","5","-344.2322537553665"
"1","320","3","0.527","0.66","35","42","2","1","48","0.1","15","0","20","0.01","8","0.5","-376.3332050708476","5","-376.3332050708476"
"1","325","3","0.527","0.66","35","30","2","2","48","0.1","15","49","20","0.01","8","0.5","789.0818042089737","5","-376.3332050708476"
"1","330","3","0.527","0.66","35","10","2","1","48","0.1","15","0","20","0.01","8","0.5","-567.0367325445394","5","-567.0367325445394"
"1","335","3","0.527","0.66","35","48","2","2","48","0.1","15","12","20","0.01","8","0.5","57.54522185360141","5","-567.0367325445394"
"1","340","3","0.527","0.66","35","48","2","2","48","0.1","15","73","20","0.01","8","0.5","1703.5041953891719","5","-567.0367325445394"
"1","345","3","0.527","0.66","35","16","2","1","48","0.1","15","0","20","0.01","8","0.5","-481.63755550193247","5","-567.0367325445394"
"1","350","3","0.527","0.66","35","48","2","2","48","0.1","15","49","20","0.01","8","0.5","695.2969819318017","5","-567.0367325445394"
"1","355","3","0.527","0.66","35","30","2","1","48","0.1","15","12","20","0.01","8","0.5","-242.8740096848017","5","-567.0367325445394"
"1","360","3","0.527","0.66","35","10","2","2","48","0.1","15","0","20","0.01","8","0.5","-563.7504342647428","5","-567.0367325445394"
"1","365","3","0.527","0.66","35","42","2","2","48","0.1","15","0","20","0.01","8","0.5","-239.65096445127543","5","-567.0367325445394"
"1","370","3","0.527","0.66","35","30","2","1","48","0.1","15","0","20","0.01","8","0.5","-430.3035365760658","5","-567.0367325445394"
"1","375","3","0.527","0.66","35","48","2","1","48","0.1","15","0","20","0.01","8","0.5","-196.72063673877034","5","-567.0367325445394"
"1","380","3","0.527","0.66","35","42","2","1","48","0.1","15","32","20","0.01","8","0.5","195.31130940845634","5","-567.0367325445394"
"1","385","3","0.527","0.66","35","12","2","1","48","0.1","15","0","20","0.01","8","0.5","-534.5392232898755","5","-567.0367325445394"
"1","390","3","0.527","0.66","35","14","2","1","48","0.1","15","0","20","0.01","8","0.5","-549.5645247327027","5","-567.0367325445394"
"1","395","3","0.527","0.66","35","10","2","1","48","0.1","15","2","20","0.01","8","0.5","-496.3786446703119","5","-567.0367325445394"
"1","400","3","0.527","0.66","35","10","2","1","48","0.1","15","29","20","0.01","8","0.5","290.2390727089536","5","-567.0367325445394"
"1","405","3","0.527","0.66","35","10","2","1","48","0.1","15","4","20","0.01","8","0.5","-479.29180171186783","5","-567.0367325445394"
"1","410","3","0.527","0.66","35","10","2","1","48","0.1","15","7","20","0.01","8","0.5","-367.77858921363423","5","-567.0367325445394"
"1","415","3","0.527","0.66","35","10","2","1","48","0.1","15","6","20","0.01","8","0.5","-413.64700772263075","5","-567.0367325445394"
"1","420","3","0.527","0.66","35","10","2","1","48","0.1","15","15","20","0.01","8","0.5","-288.5067920577726","5","-567.0367325445394"
"1","425","3","0.527","0.66","35","10","2","1","48","0.1","15","11","20","0.01","8","0.5","-316.6495305090296","5","-567.0367325445394"
"1","430","3","0.527","0.66","35","10","2","1","48","0.1","15","48","20","0.01","8","0.5","742.1554387609957","5","-567.0367325445394"
"1","435","3","0.527","0.66","35","10","2","1","48","0.1","15","20","20","0.01","8","0.5","-131.3691337055162","5","-567.0367325445394"
"1","440","3","0.527","0.66","35","10","2","1","48","0.1","15","41","20","0.01","8","0.5","416.5162948234699","5","-567.0367325445394"
"1","445","3","0.527","0.66","35","10","2","1","48","0.1","15","27","20","0.01","8","0.5","155.32011549063492","5","-567.0367325445394"
"1","450","3","0.527","0.66","35","10","2","1","48","0.1","15","54","20","0.01","8","0.5","751.3005961296248","5","-567.0367325445394"
"1","455","3","0.527","0.66","35","10","2","1","48","0.1","15","17","20","0.01","8","0.5","-126.05051307489904","5","-567.0367325445394"
"1","460","3","0.527","0.66","35","10","2","1","48","0.1","15","8","20","0.01","8","0.5","-391.7932023372484","5","-567.0367325445394"
"1","465","3","0.527","0.66","35","10","2","1","48","0.1","15","21","20","0.01","8","0.5","-71.44132993229351","5","-567.0367325445394"
"1","470","3","0.527","0.66","35","10","2","1","48","0.1","15","18","20","0.01","8","0.5","-155.67206079766083","5","-567.0367325445394"
"1","475","3","0.527","0.66","35","10","2","1","48","0.1","15","3","20","0.01","8","0.5","-481.35188138487393","5","-567.0367325445394"
"1","480","3","0.527","0.66","35","10","2","1","48","0.1","15","13","20","0.01","8","0.5","-225.90837184729216","5","-567.0367325445394"
"1","485","3","0.527","0.66","35","10","2","1","48","0.1","15","14","20","0.01","8","0.5","-197.1424480251153","5","-567.0367325445394"
"1","490","3","0.527","0.66","35","10","2","1","48","0.1","15","1","20","0.01","8","0.5","-537.0262570225916","5","-567.0367325445394"
"1","495","3","0.527","0.66","35","10","2","1","48","0.1","15","42","20","0.01","8","0.5","523.5082585608101","5","-567.0367325445394"
"1","500","3","0.527","0.66","35","10","2","1","48","0.1","15","34","20","0.01","8","0.5","278.588977025502","5","-567.0367325445394"
