"search-number","evaluation","evals-requested-so-far","number-of-cars*","mean_acceleration*","mean-deceleration*","max-patience*","distance-between-nodes*","number-of-lanes*","length-of-node*","cars-per-mile-mean*","sec-per-tick*","feet-per-unit*","node-power-output*","ev-density-percent*","crr*","electricity-cost*","cda*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","129","250","3","0.527","0.66","35","38","2","1","48","0.1","15","71","20","0.01","8","0.5","""162374807""","959.0592762076085","959.0592762076085","959.0592762076085","0","959.0592762076085"
"1","130","250","3","0.527","0.66","35","38","2","1","48","0.1","15","71","20","0.01","8","0.5","""1791222192""","-44.7105142442299","-44.7105142442299","-44.7105142442299","0","-44.7105142442299"
"1","131","250","3","0.527","0.66","35","42","2","3","48","0.1","15","11","20","0.01","8","0.5","""-1775137322""","338.6513565699069","338.6513565699069","338.6513565699069","0","338.6513565699069"
"1","132","250","3","0.527","0.66","35","42","2","3","48","0.1","15","11","20","0.01","8","0.5","""1204093162""","-97.918048505169","-97.918048505169","-97.918048505169","0","-97.918048505169"
"1","133","250","3","0.527","0.66","35","42","2","3","48","0.1","15","11","20","0.01","8","0.5","""-1172713481""","224.58975889110752","224.58975889110752","224.58975889110752","0","224.58975889110752"
"1","134","250","3","0.527","0.66","35","42","2","3","48","0.1","15","11","20","0.01","8","0.5","""2063947925""","459.4607211706348","459.4607211706348","459.4607211706348","0","459.4607211706348"
"1","135","250","3","0.527","0.66","35","42","2","3","48","0.1","15","11","20","0.01","8","0.5","""931917158""","-35.325393505644115","-35.325393505644115","-35.325393505644115","0","-35.325393505644115"
"1","136","250","3","0.527","0.66","35","22","2","1","48","0.1","15","185","20","0.01","8","0.5","""-280389876""","2696.467396933663","2696.467396933663","2696.467396933663","0","2696.467396933663"
"1","137","250","3","0.527","0.66","35","22","2","1","48","0.1","15","185","20","0.01","8","0.5","""-1679618743""","174.60203701332534","174.60203701332534","174.60203701332534","0","174.60203701332534"
"1","138","250","3","0.527","0.66","35","22","2","1","48","0.1","15","185","20","0.01","8","0.5","""409618301""","2851.473607904619","2851.473607904619","2851.473607904619","0","2851.473607904619"
"1","139","250","3","0.527","0.66","35","22","2","1","48","0.1","15","185","20","0.01","8","0.5","""-626307896""","4595.106489934754","4595.106489934754","4595.106489934754","0","4595.106489934754"
"1","140","250","3","0.527","0.66","35","22","2","1","48","0.1","15","185","20","0.01","8","0.5","""1638877707""","1820.3616040106863","1820.3616040106863","1820.3616040106863","0","1820.3616040106863"
"1","141","250","3","0.527","0.66","35","18","2","2","48","0.1","15","160","20","0.01","8","0.5","""-2023852773""","-1304.447867451396","-1304.447867451396","-1304.447867451396","0","-1304.447867451396"
"1","142","250","3","0.527","0.66","35","18","2","2","48","0.1","15","160","20","0.01","8","0.5","""1638690174""","8415.165397110024","8415.165397110024","8415.165397110024","0","8415.165397110024"
"1","143","250","3","0.527","0.66","35","18","2","2","48","0.1","15","160","20","0.01","8","0.5","""-1689152191""","1379.7770547945684","1379.7770547945684","1379.7770547945684","0","1379.7770547945684"
"1","144","250","3","0.527","0.66","35","18","2","2","48","0.1","15","160","20","0.01","8","0.5","""-296561852""","2699.420107111015","2699.420107111015","2699.420107111015","0","2699.420107111015"
"1","145","250","3","0.527","0.66","35","18","2","2","48","0.1","15","160","20","0.01","8","0.5","""1082329005""","7231.719630645636","7231.719630645636","7231.719630645636","0","7231.719630645636"
"1","146","250","3","0.527","0.66","35","38","2","2","48","0.1","15","35","20","0.01","8","0.5","""1623792628""","-254.4172470605415","-254.4172470605415","-254.4172470605415","0","-254.4172470605415"
"1","147","250","3","0.527","0.66","35","38","2","2","48","0.1","15","35","20","0.01","8","0.5","""-1915592589""","1120.1254428613697","1120.1254428613697","1120.1254428613697","0","1120.1254428613697"
"1","148","250","3","0.527","0.66","35","38","2","2","48","0.1","15","35","20","0.01","8","0.5","""-601706722""","486.4444632972244","486.4444632972244","486.4444632972244","0","486.4444632972244"
"1","149","250","3","0.527","0.66","35","38","2","2","48","0.1","15","35","20","0.01","8","0.5","""387374352""","509.37547727132346","509.37547727132346","509.37547727132346","0","509.37547727132346"
"1","150","250","3","0.527","0.66","35","38","2","2","48","0.1","15","35","20","0.01","8","0.5","""721362756""","798.8154996890094","798.8154996890094","798.8154996890094","0","798.8154996890094"
